Country,Year,Matches Played,Ace,Double Fault,Break Percent,Return Percent,Total,Winner,Error,Net Percent,TLoser
ARG,2004,7,5.571428571428571,4.285714285714286,30.714285714285715,33.42857142857143,103.71428571428571,31.428571428571427,34.57142857142857,62.714285714285715,0
ARG,2005,9,6.0,4.222222222222222,36.55555555555556,36.44444444444444,127.11111111111111,34.333333333333336,46.22222222222222,63.44444444444444,0
ARG,2006,9,4.0,6.111111111111111,36.888888888888886,38.22222222222222,111.11111111111111,35.333333333333336,42.55555555555556,63.888888888888886,0
ARG,2007,9,7.222222222222222,5.666666666666667,38.0,34.55555555555556,102.11111111111111,34.111111111111114,40.22222222222222,61.0,0
ARG,2008,12,6.083333333333333,4.833333333333333,36.666666666666664,34.25,96.41666666666667,25.166666666666668,35.16666666666667,62.0,0
ARG,2009,9,4.333333333333333,5.222222222222222,38.22222222222222,30.0,89.11111111111111,24.5,35.375,56.625,0
ARG,2010,7,7.285714285714286,3.0,28.857142857142858,30.0,91.85714285714286,26.0,18.428571428571427,56.0,0
ARG,2011,8,3.0,3.625,25.875,28.5,82.25,24.800000000000004,36.6,57.39999999999999,0
ARG,2012,6,4.833333333333333,3.5,28.5,32.333333333333336,117.5,24.833333333333332,28.166666666666668,70.75,0
ARG,2013,6,5.5,3.0,26.333333333333332,30.0,84.0,16.5,24.5,51.0,0
ARG,2014,6,9.166666666666666,3.6666666666666665,21.666666666666668,31.666666666666668,110.0,17.833333333333332,20.666666666666668,61.666666666666664,0
ARM,2004,1,7.0,3.0,40.0,43.0,165.0,46.0,53.0,77.0,0
ARM,2005,1,5.0,6.0,33.0,35.0,127.0,24.0,34.0,63.0,0
AUS,2004,8,9.5,5.25,27.75,29.25,92.5,33.5,35.625,55.75,0
AUS,2005,9,9.222222222222221,5.444444444444445,30.11111111111111,29.0,99.77777777777777,37.111111111111114,33.888888888888886,55.77777777777778,1
AUS,2006,7,15.0,5.428571428571429,45.285714285714285,28.428571428571427,98.71428571428571,43.42857142857143,38.42857142857143,61.142857142857146,0
AUS,2007,6,15.166666666666666,4.333333333333333,26.0,25.333333333333332,108.16666666666667,39.333333333333336,37.5,59.6,0
AUS,2008,8,8.5,4.125,33.75,29.625,92.875,34.375,41.125,58.875,0
AUS,2009,7,9.428571428571429,6.428571428571429,33.0,28.857142857142858,92.28571428571429,34.333333333333336,43.166666666666664,57.16666666666667,0
AUS,2010,8,6.625,4.125,31.25,28.125,100.5,32.875,41.5,64.5,0
AUS,2011,6,11.666666666666666,4.5,41.5,34.5,121.33333333333333,43.833333333333336,53.5,59.833333333333336,0
AUS,2012,7,5.285714285714286,5.571428571428571,44.857142857142854,32.285714285714285,99.28571428571429,28.857142857142858,43.285714285714285,64.42857142857143,0
AUS,2013,8,10.125,5.75,32.75,33.25,126.625,39.25,50.875,63.857142857142854,0
